CODE,en_US,zh_Hans,zh_TW,es_ES,hu_HU,de_DE,fr_FR,nl_NL,pt_BR,ja_JP,pt_PT,it_IT,ru_RU,pl_PL,sv_SE,ko_KR
_L_RENAME_FAILED,Failed to rename\nError code,重命名失败\n错误码,重命名失敗\n錯誤碼,Error al renombrar\nCódigo error,Átnevezés sikertelen\nHibakód,Umbenennen fehlgeschlagen\nFehlercode,Échec du renommage\nCode d'erreur,Hernoemen mislukt\nFoutcode,Falha ao renomear\nCód. Erro,名前変更失敗\nエラーコード,Falha ao renomear\nCód. erro,Rinomina fallita\nCodice errore,Не удалось переименовать\nКод ошибки,Zmiana nazwy nieudana\nKod błędu,Misslyckades att byta namn\nFelkod,이름 변경 실패\n오류 코드
_L_MAIN_RETURN,[RETURN],[返回],[返回],[VOLVER],[VISSZA],[ZURÜCK],[RETOUR],[TERUG],[VOLTAR],[戻る],[VOLTAR],[RITORNA],[НАЗАД],[POWRÓT],[TILLBAKA],[복귀]
_L_RANDOM_MODE_MANUAL,Randomize (Manual),手动切换数据,手動切換數據,Aleatorio (Manual),Véletlenszerű (Kézi),Zufällig (Manuell),Aléatoire (Manuel),Willekeurig (Handmatig),Aleatório (Manual),ランダム (手動),Aleatório (manual),Casuale (Manuale),Случайно (Ручн.),Losowo (Ręcznie),Slumpmässig (Manuell),랜덤 (수동)
_L_RANDOM_MODE_AUTO,Randomize (Auto),自动切换数据,自動切換數據,Aleatorio (Auto),Véletlenszerű (Auto),Zufällig (Auto),Aléatoire (Auto),Willekeurig (Auto),Aleatório (Auto),ランダム (自動),Aleatório (auto),Casuale (Auto),Случайно (Авто),Losowo (Auto),Slumpmässig (Auto),랜덤 (자동)
_L_SEQUENCE_MODE,Sequential mode,顺序切换数据,順序切換數據,Modo Secuencial,Szekvenciális mód,Sequenzieller Modus,Mode Séquentiel,Sequentiële Modus,Modo Sequencial,シーケンシャル,Modo sequencial,Modo sequenziale,Послідовний режим,Tryb sekwencyjny,Sekventiellt läge,순차 모드
_L_READ_WRITE_MODE,Read-write mode,读写模式,讀寫模式,Modo Lectura-Escritura,Írás-olvasás mód,Lese-Schreib-Modus,Mode Lecture-Écriture,Lees-schrijf Modus,Modo Leitura-Escrita,読み書きモード,Modo leitura-escrita,Modo lettura-scrittura,Режим чтения/записи,Tryb odczytu-zapisu,Läs-skriv-läge,읽기/쓰기 모드
_L_AMIIBOLINK_V1,V1,一代模式,一代模式,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1
_L_AMIIBOLINK_V2,V2,二代模式,二代模式,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2
_L_AMILOOP,AmiLoop,AmiLoop模式,AmiLoop模式,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop,AmiLoop
_L_MODE,Mode,模式,模式,Modo,Mód,Modus,Mode,Modus,Modo,モード,Modo,Modalità,Режим,Tryb,Läge,모드
_L_AUTO_RANDOM,Auto Random.,自动随机,自動隨機,Aleatorio Auto.,Auto véletlen,Auto-Zufall,Aléatoire Auto.,Auto Willekeurig.,Aleatório Auto.,自動ランダム,Aleatório auto.,Casuale auto.,Авто случ.,Auto losowy,Auto slumpmässig,자동 랜덤
_L_COMPATIBLE_MODE,Compati. Mode,兼容模式,兼容模式,Modo Compatib.,Kompatibilis mód,Kompatibilitätsmodus,Mode Compat.,Compatibele Modus,Modo Compat.,互換モード,Modo compat.,Modo compat.,Совместимый режим,Tryb zgodności,Kompatibelt läge,호환 모드
_L_TAG_DETAILS,[Tag Details],[详情],[詳情],[Detalles del Tag],[Tag részletei],[Tag-Details],[Détails du Tag],[Tag-details],[Detalhes da Tag],[詳細],[Detalhes da tag],[Dettagli tag],[Детали тега],[Szczegóły taga],[Taggdetaljer],[태그 상세]
_L_MAIN_MENU,[Main Menu],[主菜单],[主菜單],[Menú Principal],[Főmenü],[Hauptmenü],[Menu Principal],[Hoofdmenu],[Menu Principal],[メイン],[Menu principal],[Menu principale],[Главное меню],[Menu główne],[Huvudmeny],[메인 메뉴]
_L_MODE_RANDOM,Rand. (Manual),随机(手动),隨機(手動),Aleat. (Manual),Véletlen (Kézi),Zufall (Man.),Aléat. (Manuel),Willek. (Handm.),Aleat. (Manual),ランダム (手動),Aleat. (manual),Casuale (Manuale),Случ. (Ручн.),Los. (Ręcz.),Slump. (Man.),랜덤 (수동)
_L_MODE_CYCLE,Sequential,顺序,順序,Secuencial,Szekvenciális,Sequenziell,Séquentiel,Sequentieel,Sequencial,順次,Sequencial,Sequenziale,Послідовно,Sekwencyjnie,Sekventiell,순차
_L_MODE_NTAG,Read/Write,读写,讀寫,Lec./Esc.,Írás/Olvasás,Lesen/Schreiben,Lec./Écr.,Lezen/Schrijven,Leitura/Escrita,読み書き,Leitura/Escrita,Lett./Scritt.,Чтение/Запись,Odczyt/Zapis,Läs/Skriv,읽기/쓰기
_L_MODE_RANDOM_AUTO_GEN,Rand. (Auto),随机(自动),隨機(自動),Aleat. (Auto),Véletlen (Auto),Zufall (Auto),Aléat. (Auto),Willek. (Auto),Aleat. (Auto),ランダム (自動),Aleat. (auto),Casuale (Auto),Случ. (Авто),Los. (Auto),Slump. (Auto),랜덤 (자동)
_L_BLANK_TAG,Blank NFC tag,空白NFC卡,空白NFC卡,Tag NFC Vacío,Üres NFC tag,Leerer NFC-Tag,Tag NFC Vierge,Lege NFC-tag,Tag NFC Vazia,空のNFCタグ,Tag NFC vazia,Tag NFC vuoto,Пустой тег NFC,Pusty tag NFC,Tom NFC-tagg,빈 NFC 태그
_L_APP_AMIIDB,Amiibo Database,数据库,數據庫,Base de Datos Amiibo,Amiibo adatbázis,Amiibo-Datenbank,Base de Données Amiibo,Amiibo Database,Base de Dados Amiibo,データベース,Base de dados Amiibo,Database Amiibo,База данных Amiibo,Baza danych Amiibo,Amiibo-databas,Amiibo 데이터베이스
_L_APP_AMMIDB_BROWSER,Browser...,浏览...,瀏覽...,Explorador...,Böngésző...,Browser...,Navigateur...,Browser...,Navegador...,ブラウザ...,Navegador...,Browser...,Обзор...,Przeglądarka...,Webbläsare...,탐색기...
_L_APP_AMIIDB_SEARCH,Search...,搜索...,搜索...,Buscar...,Keresés...,Suchen...,Recherche...,Zoeken...,Pesquisar...,検索...,Pesquisar...,Cerca...,Поиск...,Szukaj...,Sök...,검색...
_L_APP_AMIIDB_MY_FAVORITES,My Favorites...,收藏夹...,收藏夾...,Mis Favoritos...,Kedvencek...,Meine Favoriten...,Mes Favoris...,Mijn Favorieten...,Meus Favoritos...,お気に入り...,Meus favoritos...,I miei preferiti...,Избранное...,Ulubione...,Mina favoriter...,즐겨찾기...
_L_APP_AMIIDB_MY_TAGS,My Amiibo...,我的文件...,我的文件...,Mis Amiibos...,Saját Amiibo...,Meine Amiibos...,Mes Amiibos...,Mijn Amiibos...,Meus Amiibos...,マイファイル...,Meus Amiibos...,I miei Amiibo...,Мои Amiibo...,Moje Amiibo...,Mina Amiibos...,내 Amiibo...
_L_APP_AMIIDB_SETTINGS,Settings...,设置...,設置...,Ajustes...,Beállítások...,Einstellungen...,Paramètres...,Instellingen...,Configurações...,設定...,Definições...,Impostazioni...,Настройки...,Ustawienia...,Inställningar...,설정...
_L_APP_AMIIDB_EXIT,[Exit],[退出],[退出],[Salir],[Kilépés],[Beenden],[Quitter],[Afsluiten],[Sair],[終了],[Sair],[Esci],[Выход],[Wyjście],[Avsluta],[종료]
_L_APP_AMIIDB_BACK,[Back],[返回],[返回],[Volver],[Vissza],[Zurück],[Retour],[Terug],[Voltar],[戻る],[Voltar],[Indietro],[Назад],[Wróć],[Tillbaka],[뒤로]
_L_APP_AMIIDB_SETTINGS_AMIIBO_KEY,Keys,Key文件,Key文件,Claves,Kulcsok,Schlüssel,Clés,Sleutels,Chaves,Key,Chaves,Chiavi,Ключи,Klucze,Nycklar,키
_L_APP_AMIIDB_SETTINGS_AMIIBO_KEY_LOADED,Loaded,已加载,已加載,Cargado,Betöltve,Geladen,Chargé,Geladen,Carregado,済み,Carregado,Caricato,Загружено,Załadowano,Laddad,로드됨
_L_APP_AMIIDB_SETTINGS_AMIIBO_KEY_NOT_LOADED,NOT Loaded,未加载,未加載,NO Cargado,NINCS Betöltve,NICHT Geladen,NON Chargé,NIET Geladen,NÃO Carregado,未設定,NÃO carregado,NON caricato,НЕ Загружено,NIE Załadowano,INTE laddad,미로드
_L_APP_AMIIDB_SETTINGS_SLOT_NUM,Slot Num.,卡槽数量,卡槽數量,Núm. Ranura,Hely száma,Slot-Nr.,Num. Slot,Slot Nr.,Núm. Slot,スロット数,Núm. slot,Num. Slot,Номер слота,Liczba slotów,Slotnummer,슬롯 수
_L_APP_AMIIDB_DETAIL_FAVORITE,Favorite...,收藏...,收藏...,Favorito...,Kedvencek...,Favorit...,Favori...,Favoriet...,Favorito...,お気に入り追加...,Favorito...,Preferito...,В избранное...,Ulubione...,Favorit...,즐겨찾기...
_L_APP_AMIIDB_DETAIL_SAVE_AS,Save As...,另存为...,另存爲...,Guardar Como...,Mentés másként...,Speichern unter...,Enregistrer sous...,Opslaan Als...,Salvar Como...,別名保存...,Guardar como...,Salva come...,Сохранить как...,Zapisz jako...,Spara som...,다른 이름 저장...
_L_APP_AMIIDB_DETAIL_BACK_DETAIL,[Back to Detail],[返回详情],[返回詳情],[Volver a Detalle],[Vissza a részletekhez],[Zurück zu Details],[Retour aux Détails],[Terug naar Detail],[Voltar ao Detalhe],[詳細に戻る],[Voltar ao detalhe],[Torna al dettaglio],[Назад к деталям],[Wróć do szczegółów],[Tillbaka till detalj],[상세로 복귀]
_L_APP_AMIIDB_DETAIL_BACK_LIST,[Back to List],[返回列表],[返回列表],[Volver a Lista],[Vissza a listához],[Zurück zur Liste],[Retour à la Liste],[Terug naar Lijst],[Voltar à Lista],[リストに戻る],[Voltar à lista],[Torna all'elenco],[Назад к списку],[Wróć do listy],[Tillbaka till listan],[목록으로 복귀]
_L_APP_AMIIDB_SEARCH_HEAD,Search:,搜索:,搜索:,Buscar:,Keresés:,Suche:,Recherche :,Zoeken:,Pesquisar:,検索:,Pesquisar:,Cerca:,Поиск:,Szukaj:,Sök:,검색:
_L_APP_AMIIDB_MORE,[More...],[更多...],[更多...],[Más...],[Több...],[Mehr...],[Plus...],[Meer...],[Mais...],[もっと...],[Mais...],[Altro...],[Ещё...],[Więcej...],[Mer...],[더 보기...]
_L_APP_AMIIDB_MORE_MESSAGE,Too many results. Try a more specific search.,结果太多, 请尝试更精确的关键字。,結果太多, 請嘗試更精確的關鍵字。,Demasiados resultados. Búsqueda más específica.,Túl sok találat. Próbáljon pontosabb keresést.,Zu viele Ergebnisse. Spezifischer suchen.,Trop de résultats. Essayez une recherche plus précise.,Te veel resultaten. Probeer een specifiekere zoekopdracht.,Muitos resultados. Tente uma busca mais específica.,結果が多すぎます。キーワードを増やしてください。,Muitos resultados. Tente uma pesquisa mais específica.,Troppi risultati. Prova una ricerca più specifica.,Слишком много результатов. Уточните поиск.,Za dużo wyników. Spróbuj bardziej szczegółowego wyszukiwania.,För många resultat. Försök med en mer specifik sökning.,결과가 너무 많습니다. 상세히 검색하세요.
_L_APP_AMIIDB_EMPTY_TAG,<Blank Amiibo>,<空白数据>,<空白數據>,<Amiibo Vacío>,<Üres Amiibo>,<Leerer Amiibo>,<Amiibo Vierge>,<Lege Amiibo>,<Amiibo Vazio>,<空データ>,<Amiibo vazio>,<Amiibo vuoto>,<Пустой Amiibo>,<Pusty Amiibo>,<Tom Amiibo>,<빈 Amiibo>
_L_APP_AMIIDB_SLOT_DELETE,Reset...,重置...,重置...,Restablecer...,Visszaállítás...,Zurücksetzen...,Réinitialiser...,Resetten...,Redefinir...,リセット...,Repor...,Ripristina...,Сброс...,Resetuj...,Återställ...,초기화...
_L_APP_AMIIDB_CONFIRM,Confirm,确认,確認,Confirmar,Megerősítés,Bestätigen,Confirmer,Bevestigen,Confirmar,確認,Confirmar,Conferma,Подтвердить,Potwierdź,Bekräfta,확인
_L_APP_AMIIDB_CANCEL,Cancel,取消,取消,Cancelar,Mégse,Abbrechen,Annuler,Annuleren,Cancelar,キャンセル,Cancelar,Annulla,Отмена,Anuluj,Avbryt,취소
_L_APP_AMIIDB_TIPS,Confirm,提示,提示,Confirmar,Megerősítés,Bestätigen,Confirmer,Tip,Dica,確認,Dica,Conferma,Подтвердить,Wskazówka,Tips,확인
_L_APP_AMIIDB_NEW,New...,新建...,新建...,Nuevo...,Új...,Neu...,Nouveau...,Nieuw...,Novo...,新規...,Novo...,Nuovo...,Новый...,Nowy...,Ny...,새로 만들기...
_L_APP_AMIIDB_EMPTY,Empty...,清空...,清空...,Vaciar...,Ürítés...,Leeren...,Vider...,Legen...,Esvaziar...,空にする...,Esvaziar...,Svuota...,Очистить...,Opróżnij...,Töm...,비우기...
_L_APP_AMIIDB_DELETE,Delete...,删除...,刪除...,Eliminar...,Törlés...,Löschen...,Supprimer...,Verwijderen...,Excluir...,削除...,Apagar...,Elimina...,Удалить...,Usuń...,Ta bort...,삭제...
_L_APP_AMIIDB_FAV_NEW_HEAD,New Fav. Folder:,新建收藏文件夹:,新建收藏文件夾:,Nueva Carpeta Favoritos:,Új kedvenc mappa:,Neuer Favoritenordner:,Nouveau Dossier Favoris :,Nieuwe Favorietenmap:,Nova Pasta Favoritos:,新規お気に入りフォルダ:,Nova pasta de favoritos:,Nuova cartella preferiti:,Новая папка избранного:,Nowy folder ulubionych:,Ny favoritmapp:,새 즐겨찾기 폴더:
_L_APP_AMIIDB_FAV_EMPTY_MSG,Empty Fav. Folder?,清空收藏文件夹?,清空收藏文件夾?,¿Vaciar Carpeta Favoritos?,Üríti a kedvenc mappát?,Favoritenordner leeren?,Vider le Dossier Favoris ?,Favorietenmap Legen?,Esvaziar Pasta Favoritos?,お気に入りフォルダを空にしますか？,Esvaziar pasta de favoritos?,Svuotare cartella preferiti?,Очистить папку избранного?,Opróżnić folder ulubionych?,Töm favoritmapp?,즐겨찾기 폴더를 비울까요?
_L_APP_AMIIDB_FAV_DELETE_MSG,Confirm Delete?,确认删除?,確認刪除?,¿Confirmar Eliminación?,Törlés megerősítése?,Löschen bestätigen?,Confirmer la Suppression ?,Verwijderen Bevestigen?,Confirmar Exclusão?,削除しますか？,Confirmar apagar?,Confermare eliminazione?,Подтвердить удаление?,Potwierdź usunięcie?,Bekräfta borttagning?,삭제 확인?
_L_APP_AMIIDB_FAV_SELECT_FOLDER,Select Fav. Folder...,选择收藏文件夹...,選擇收藏文件夾...,Seleccionar Carpeta Favoritos...,Kedvenc mappa kiválasztása...,Favoritenordner auswählen...,Sélect. Dossier Favoris...,Selecteer Favorietenmap...,Selecionar Pasta Favoritos...,フォルダ選択...,Selecionar pasta de favoritos...,Seleziona cartella preferiti...,Выбрать папку избранного...,Wybierz folder ulubionych...,Välj favoritmapp...,즐겨찾기 폴더 선택...
_L_APP_AMIIDB_FAV_SUCCESS,Favorite Success,收藏成功,收藏成功,Favorito Exitoso,Kedvencekhez adás sikeres,Favorisieren erfolgreich,Favori Réussi,Favoriet Geslaagd,Favorito Bem-sucedido,追加しました,Favorito com sucesso,Aggiunto ai preferiti,Добавлено в избранное,Dodano do ulubionych,Favorit lyckades,즐겨찾기 성공
_L_APP_AMIIDB_FAV_FAILED,Favorite Failed!,收藏失败!,收藏失敗!,¡Fallo Favorito!,Kedvencekhez adás sikertelen!,Favorisieren fehlgeschlagen!,Échec Favori !,Favoriet Mislukt!,Falha no Favorito!,失敗しました,Falha ao adicionar favorito!,Aggiunta preferiti fallita!,Не удалось добавить в избранное!,Nie udało się dodać do ulubionych!,Favorit misslyckades!,즐겨찾기 실패!
_L_APP_AMIIDB_SLOT_SAVE_SUCCESS,Save Success,保存成功,保存成功,Guardado Exitoso,Mentés sikeres,Speichern erfolgreich,Sauvegarde Réussie,Opslaan Geslaagd,Salvo com Sucesso,保存しました,Guardado com sucesso,Salvataggio riuscito,Сохранено успешно,Zapisano pomyślnie,Sparat,저장 성공
_L_APP_AMIIDB_SLOT_SAVE_FAILED,Save Failed!,保存失败!,保存失敗!,¡Fallo Guardado!,Mentés sikertelen!,Speichern fehlgeschlagen!,Échec Sauvegarde !,Opslaan Mislukt!,Falha ao Salvar!,保存失敗!,Falha ao guardar!,Salvataggio fallito!,Не удалось сохранить!,Nie udało się zapisać!,Sparande misslyckades!,저장 실패!
_L_APP_AMIIDB_SORT_FIELD,Sort Field,排序字段,排序字段,Campo Ordenación,Rendezési mező,Sortierfeld,Champ de Tri,Sorteerveld,Campo de Classificação,ソート項目,Campo de ordenação,Campo ordinamento,Поле сортировки,Pole sortowania,Sorteringsfält,정렬 필드
_L_APP_AMIIDB_SORT_DEFAULT,Default,默认,默認,Predeterminado,Alapértelmezett,Standard,Défaut,Standaard,Padrão,デフォルト,Padrão,Predefinito,По умолчанию,Domyślne,Standard,기본
_L_APP_AMIIDB_SORT_NAME,Name,名字,名字,Nombre,Név,Name,Nom,Naam,Nome,名前,Nome,Nome,Имя,Nazwa,Namn,이름
_L_APP_CHAMELEON,Card Emulator,读卡模拟,讀卡模擬,Emulador de Tarjeta,Kártyaemulátor,Kartenemulator,Émulateur de Carte,Kaartemulator,Emulador de Cartão,カードエミュ,Emulador de cartão,Emulatore carta,Эмулятор карты,Emulator karty,Kortemulator,카드 에뮬레이터
_L_APP_CHAMELEON_TAG_MF1_WRITE_NORMAL,Normal,普通,普通,Normal,Normál,Normal,Normal,Normaal,Normal,通常,Normal,Normale,Обычный,Normalny,Normal,일반
_L_APP_CHAMELEON_TAG_MF1_WRITE_DENIED,Deny,拒写,拒寫,Denegar,Elutasítás,Verweigern,Refuser,Weigeren,Negar,書き込み拒否,Negar,Nega,Отказать,Odmów,Neka,거부
_L_APP_CHAMELEON_TAG_MF1_WRITE_DECEIVE,Ignore,欺骗,欺騙,Ignorar,Mellőzés,Ignorieren,Ignorer,Negeren,Ignorar,無視,Ignorar,Ignora,Игнорировать,Ignoruj,Ignorera,무시
_L_APP_CHAMELEON_TAG_MF1_WRITE_SHADOW,Cache,影子,影子,Caché,Gyorsítótár,Cache,Cache,Cache,Cache,キャッシュ,Cache,Cache,Кэш,Pamięć podręczna,Cache,캐시
_L_APP_CHAMELEON_INITIALIZING,Initializing data ...,初始化数据...,初始化數據...,Inicializando datos...,Adatok inicializálása...,Daten werden initialisiert...,Initialisation des données...,Gegevens initialiseren...,Inicializando dados...,初期化中...,A inicializar dados...,Inizializzazione dati...,Инициализация данных...,Inicjowanie danych...,Initierar data...,데이터 초기화 중...
_L_APP_CHAMELEON_CARD_SLOT,Slot,卡槽,卡槽,Ranura,Hely,Slot,Slot,Slot,Slot,スロット,Slot,Slot,Слот,Slot,Slot,슬롯
_L_APP_CHAMELEON_CARD_NICK,Nick,别名,別名,Apodo,Becenév,Spitzname,Surnom,Bijnaam,Apelido,別名,Apelido,Soprannome,Псевдоним,Pseudonim,Smeknamn,별명
_L_APP_CHAMELEON_CARD_ID,ID,卡号,卡號,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID
_L_APP_CHAMELEON_CARD_TYPE,Type,类型,類型,Tipo,Típus,Typ,Type,Type,Tipo,タイプ,Tipo,Tipo,Тип,Typ,Typ,유형
_L_APP_CHAMELEON_CARD_DATA,Data...,数据...,數據...,Datos...,Adatok...,Daten...,Données...,Gegevens...,Dados...,データ...,Dados...,Dati...,Данные...,Dane...,Data...,데이터...
_L_APP_CHAMELEON_CARD_ADVANCED,Advanced...,高级...,高級...,Avanzado...,Speciális...,Erweitert...,Avancé...,Geavanceerd...,Avançado...,詳細設定...,Avançado...,Avanzate...,Дополнительно...,Zaawansowane...,Avancerat...,고급...
_L_APP_CHAMELEON_CARD_SLOT_SETTINGS,Slots Settings...,卡槽设置...,卡槽設置...,Ajustes de Ranuras...,Hely beállítások...,Slot-Einstellungen...,Paramètres des Slots...,Slotinstellingen...,Config. de Slots...,スロット設定...,Definições de slots...,Impostazioni slot...,Настройки слотов...,Ustawienia slotów...,Slotinställningar...,슬롯 설정...
_L_APP_CHAMELEON_CARD_SLOT_NUM,Slot Num...,卡槽数量...,卡槽數量...,Núm. Ranura...,Helyek száma...,Slot-Nr....,Num. Slot...,Slot Nr....,Núm. Slot...,スロット数...,Núm. slot...,Num. slot...,Количество слотов...,Liczba slotów...,Slotnummer...,슬롯 번호...
_L_APP_CHAMELEON_CARD_SET_NICK_SUCCESS,Set Nick Success,别名设置成功,別名設置成功,Apodo Establecido,Becenév beállítása sikeres,Spitzname gesetzt,Surnom Défini,Bijnaam Ingesteld,Apelido Definido,別名を設定しました,Apelido definido com sucesso,Soprannome impostato,Псевдоним установлен,Ustawiono pseudonim,Smeknamn inställt,별명 설정 성공
_L_APP_CHAMELEON_CARD_SET_NICK_FAILED,Set Nick Failed!,别名设置失败!,別名設置失敗!,¡Fallo Apodo!,Becenév beállítása sikertelen!,Spitzname fehlgeschlagen!,Échec Surnom !,Bijnaam Mislukt!,Falha no Apelido!,失敗しました,Falha ao definir apelido!,Impostazione soprannome fallita!,Не удалось установить псевдоним!,Nie udało się ustawić pseudonimu!,Smeknamn misslyckades!,별명 설정 실패!
_L_APP_CHAMELEON_CARD_INPUT_NICK,Input Nick:,输入别名:,輸入別名:,Ingresar Apodo:,Becenév megadása:,Spitzname eingeben:,Saisir Surnom :,Voer Bijnaam In:,Inserir Apelido:,別名入力:,Inserir apelido:,Inserisci soprannome:,Введите псевдоним:,Wprowadź pseudonim:,Mata in smeknamn:,별명 입력:
_L_APP_CHAMELEON_CARD_DATA_LOAD,Load...,加载...,加載...,Cargar...,Betöltés...,Laden...,Charger...,Laden...,Carregar...,読み込み...,Carregar...,Carica...,Загрузить...,Wczytaj...,Ladda...,불러오기...
_L_APP_CHAMELEON_CARD_DATA_SAVE,Save...,保存...,保存...,Guardar...,Mentés...,Speichern...,Sauvegarder...,Opslaan...,Salvar...,保存...,Guardar...,Salva...,Сохранить...,Zapisz...,Spara...,저장...
_L_APP_CHAMELEON_CARD_DATA_FACTORY,Factory...,恢复出厂...,恢復出廠...,Fábrica...,Gyári...,Werk...,Usine...,Fabriek...,Fábrica...,初期化...,Fábrica...,Fabbrica...,Завод...,Fabryka...,Fabriks...,초기화...
_L_APP_CHAMELEON_CARD_DATA_FACTORY_SUCCESS,Data Factory Success,数据重置成功,數據重置成功,Datos Fábrica Exitoso,Adatok visszaállítása sikeres,Daten-Werksreset erfolgreich,Données Usine Réussi,Gegevens Fabriek Geslaagd,Dados de Fábrica Bem-sucedido,初期化しました,Dados de fábrica repostos com sucesso,Dati fabbrica ripristinati,Сброс данных выполнен,Przywrócono dane fabryczne,Fabriksdata lyckades,데이터 초기화 성공
_L_APP_CHAMELEON_CARD_DATA_LOAD_NOT_FOUND,File Not Found,文件不存在,文件不存在,Archivo No Encontrado,Fájl nem található,Datei nicht gefunden,Fichier Non Trouvé,Bestand Niet Gevonden,Arquivo Não Encontrado,ファイルがありません,Ficheiro não encontrado,File non trovato,Файл не найден,Nie znaleziono pliku,Fil ej hittad,파일 없음
_L_APP_CHAMELEON_CARD_DATA_LOAD_SIZE_NOT_MATCH,File Size Not Match,文件大小不匹配,文件大小不匹配,Tamaño Archivo No Coincide,Fájlméret nem egyezik,Dateigröße stimmt nicht überein,Taille Fichier Ne Correspond Pas,Bestandsgrootte Komt Niet Overeen,Tamanho do Arquivo Não Corresponde,サイズが異なります,Tamanho do ficheiro não corresponde,Dimensione file non corrispondente,Размер файла не совпадает,Rozmiar pliku nie pasuje,Filstorlek matchar inte,파일 크기 불일치
_L_APP_CHAMELEON_CARD_DATA_LOAD_FAILED,Load File Failed,加载文件失败,加載文件失敗,Fallo Carga Archivo,Fájl betöltése sikertelen,Laden der Datei fehlgeschlagen,Échec Chargement Fichier,Laden Bestand Mislukt,Falha ao Carregar Arquivo,読み込み失敗,Falha ao carregar ficheiro,Caricamento file fallito,Не удалось загрузить файл,Nie udało się wczytać pliku,Misslyckades att ladda fil,파일 로드 실패
_L_APP_CHAMELEON_CARD_DATA_LOAD_SUCCESS,Load File Success,加载文件成功,加載文件成功,Carga Archivo Exitosa,Fájl betöltése sikeres,Laden der Datei erfolgreich,Chargement Fichier Réussi,Laden Bestand Geslaagd,Carregamento de Arquivo Bem-sucedido,読み込みました,Ficheiro carregado com sucesso,Caricamento file riuscito,Файл загружен успешно,Wczytano plik pomyślnie,Fil laddad,파일 로드 성공
_L_APP_CHAMELEON_CARD_DATA_SAVE_INPUT_FILE_NAME,Input File Name:,输入文件名:,輸入文件名:,Nombre Archivo:,Fájlnév megadása:,Dateiname eingeben:,Nom du Fichier :,Voer Bestandsnaam In:,Nome do Arquivo:,ファイル名入力:,Inserir nome do ficheiro:,Inserisci nome file:,Имя файла:,Wprowadź nazwę pliku:,Mata in filnamn:,파일명 입력:
_L_APP_CHAMELEON_CARD_DATA_SAVE_FAILED,Save File Failed!,保存文件失败!,保存文件失敗!,¡Fallo Guardar Archivo!,Fájl mentése sikertelen!,Speichern der Datei fehlgeschlagen!,Échec Sauvegarde Fichier !,Opslaan Bestand Mislukt!,Falha ao Salvar Arquivo!,保存失敗!,Falha ao guardar ficheiro!,Salvataggio file fallito!,Не удалось сохранить файл!,Nie udało się zapisać pliku!,Misslyckades att spara fil!,파일 저장 실패!
_L_APP_CHAMELEON_CARD_DATA_SAVE_SUCCESS,Save File Success,保存文件成功,保存文件成功,Guardado Archivo Exitoso,Fájl mentése sikeres,Speichern der Datei erfolgreich,Sauvegarde Fichier Réussie,Opslaan Bestand Geslaagd,Salvamento de Arquivo Bem-sucedido,保存しました,Ficheiro guardado com sucesso,Salvataggio file riuscito,Файл сохранён успешно,Zapisano plik pomyślnie,Fil sparad,파일 저장 성공
_L_APP_CHAMELEON_CARD_ADV_CUSTOM_MODE,Custom Mode,自定义模式,自定義模式,Modo Personalizado,Egyedi mód,Benutzerdefinierter Modus,Mode Personnalisé,Aangepaste Modus,Modo Personalizado,カスタムモード,Modo personalizado,Modalità personalizzata,Польз. режим,Tryb własny,Anpassat läge,사용자 모드
_L_APP_CHAMELEON_CARD_ADV_LOAD_BLOCK0,Load From Block0...,从0块加载...,從0塊加載...,Cargar desde Bloque0...,Betöltés a 0. blokkból...,Laden von Block0...,Charger depuis Bloc0...,Laden van Blok0...,Carregar do Bloco0...,Block0から読み込み...,Carregar do Bloco0...,Carica da Blocco0...,Загрузить из Block0...,Wczytaj z bloku 0...,Ladda från Block0...,Block0 불러오기...
_L_APP_CHAMELEON_CARD_ADV_LOAD_BLOCK0_SUCCESS,Load Block0 Success,加载0块成功,加載0塊成功,Carga Bloque0 Exitosa,0. blokk betöltése sikeres,Laden von Block0 erfolgreich,Chargement Bloc0 Réussi,Laden Blok0 Geslaagd,Carregamento do Bloco0 Bem-sucedido,Block0を読み込みました,Bloco0 carregado com sucesso,Caricamento Blocco0 riuscito,Block0 загружен успешно,Wczytano blok 0 pomyślnie,Block0 laddad,Block0 로드 성공
_L_APP_CHAMELEON_CARD_ID_SIZE,ID Size,ID长度,ID長度,Tamaño ID,ID méret,ID-Größe,Taille ID,ID Grootte,Tamanho do ID,IDサイズ,Tamanho do ID,Dimensione ID,Размер ID,Rozmiar ID,ID-storlek,ID 크기
_L_APP_CHAMELEON_CARD_GEN1A_MODE,Gen1A Enabled,Gen1A后门开启,Gen1A後門開啓,Gen1A Habilitado,Gen1A engedélyezve,Gen1A aktiviert,Gen1A Activé,Gen1A Ingeschakeld,Gen1A Habilitado,Gen1A 有効,Gen1A ativado,Gen1A abilitato,Gen1A вкл.,Gen1A włączone,Gen1A aktiverat,Gen1A 활성
